,Unnamed: 0,Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2),person,method
0,0,0.00338,-0.285,-0.387,-0.708,0.856,0,0
1,1,0.0134,-0.493,-0.195,-1.09,1.21,0,0
2,2,0.0234,-0.423,0.387,-0.65,0.867,0,0
3,3,0.0334,-0.174,0.857,-0.76,1.16,0,0
4,4,0.0435,0.357,1.36,-1.14,1.8,0,0
5,5,0.0535,2.04,1.23,-1.61,2.88,0,0
6,6,0.0635,4.18,0.446,-2.69,4.99,0,0
7,7,0.0735,4.95,-0.639,-2.74,5.7,0,0
8,8,0.0835,4.92,-1.76,-2.59,5.83,0,0
9,9,0.0935,4.28,-2.55,-1.63,5.24,0,0
10,10,0.104,3.76,-3.36,-1.17,5.17,0,0
11,11,0.114,2.79,-3.22,-1.37,4.47,0,0
12,12,0.124,2.74,-4.03,-1.69,5.16,0,0
13,13,0.134,3.45,-4.06,-1.55,5.55,0,0
14,14,0.144,4.44,-2.44,-1.14,5.19,0,0
15,15,0.154,4.94,-1.29,-2.57,5.72,0,0
16,16,0.164,5.06,-1.53,-3.23,6.19,0,0
17,17,0.174,4.53,-2.07,-2.24,5.46,0,0
18,18,0.184,2.62,-1.56,-0.656,3.12,0,0
19,19,0.194,0.152,-1.71,-2.53,3.05,0,0
20,20,0.204,-2.65,-0.491,-3.93,4.77,0,0
21,21,0.214,-5.43,1.24,-2.24,6.0,0,0
22,22,0.224,-6.18,3.21,1.5,7.12,0,0
23,23,0.234,-5.74,4.97,3.94,8.55,0,0
24,24,0.244,-5.48,5.67,5.64,9.69,0,0
25,25,0.254,-5.17,5.84,5.84,9.74,0,0
26,26,0.264,-5.12,4.71,4.85,8.47,0,0
27,27,0.274,-4.76,3.72,4.14,7.32,0,0
28,28,0.284,-3.82,2.92,4.14,6.35,0,0
29,29,0.294,-2.95,1.82,3.32,4.8,0,0
30,30,0.304,-3.14,0.5,2.98,4.35,0,0
31,31,0.314,-3.71,-0.921,2.66,4.66,0,0
32,32,0.324,-3.94,-2.72,2.31,5.32,0,0
33,33,0.334,-4.48,-3.28,1.67,5.8,0,0
34,34,0.344,-5.01,-3.08,0.735,5.93,0,0
35,35,0.354,-0.95,-2.73,-0.932,3.04,0,0
36,36,0.364,7.86,0.113,-2.77,8.33,0,0
37,37,0.374,11.8,7.04,-4.24,14.4,0,0
38,38,0.384,8.89,8.43,4.42,13.0,0,0
39,39,0.394,5.11,6.15,9.71,12.6,0,0
40,40,0.404,3.18,4.78,8.3,10.1,0,0
41,41,0.414,-0.847,0.0344,9.29,9.33,0,0
42,42,0.424,-2.37,-3.63,8.44,9.49,0,0
43,43,0.434,-2.07,-5.78,1.45,6.3,0,0
44,44,0.444,-2.81,-8.04,-8.08,11.7,0,0
45,45,0.454,-3.32,-7.73,-12.1,14.7,0,0
46,46,0.464,-3.21,-4.01,-5.32,7.39,0,0
47,47,0.474,-1.95,0.846,-0.55,2.2,0,0
48,48,0.484,-1.38,3.18,-0.00462,3.46,0,0
49,49,0.494,-1.03,4.05,0.554,4.22,0,0
50,50,0.504,-1.22,4.01,1.85,4.58,0,0
51,51,0.514,-0.0634,3.35,2.52,4.19,0,0
52,52,0.524,0.971,1.41,2.67,3.17,0,0
53,53,0.534,1.9,0.444,2.04,2.82,0,0
54,54,0.544,2.64,0.503,0.726,2.79,0,0
55,55,0.554,2.09,0.56,0.527,2.22,0,0
56,56,0.564,1.17,0.757,0.437,1.46,0,0
57,57,0.574,0.483,0.765,-0.339,0.966,0,0
58,58,0.584,-0.0345,1.44,-0.816,1.66,0,0
59,59,0.594,-0.371,2.53,-0.847,2.69,0,0
60,60,0.604,-0.127,1.85,-0.927,2.08,0,0
61,61,0.614,0.416,0.359,-0.648,0.85,0,0
62,62,0.625,0.837,-0.453,0.233,0.98,0,0
63,63,0.635,0.734,-0.344,1.15,1.41,0,0
64,64,0.645,0.286,0.675,2.05,2.18,0,0
65,65,0.655,-0.00151,0.0866,1.74,1.75,0,0
66,66,0.665,-0.311,0.00853,1.36,1.39,0,0
67,67,0.675,-0.661,0.447,0.0264,0.799,0,0
68,68,0.685,-0.546,0.726,-1.47,1.73,0,0
69,69,0.695,0.1,1.06,-2.06,2.32,0,0
70,70,0.705,1.03,1.15,-2.06,2.57,0,0
71,71,0.715,1.84,1.42,-1.43,2.73,0,0
72,72,0.725,2.31,1.36,-0.539,2.73,0,0
73,73,0.735,2.87,1.05,0.507,3.1,0,0
74,74,0.745,2.99,1.12,1.24,3.43,0,0
75,75,0.755,2.68,0.971,1.49,3.22,0,0
76,76,0.765,2.33,0.986,1.36,2.87,0,0
77,77,0.775,2.07,0.864,1.18,2.53,0,0
78,78,0.785,2.05,0.623,0.899,2.32,0,0
79,79,0.795,2.13,0.165,0.43,2.18,0,0
80,80,0.805,2.48,-0.31,0.118,2.5,0,0
81,81,0.815,3.29,-0.861,-0.172,3.41,0,0
82,82,0.825,4.04,-1.41,-0.523,4.31,0,0
83,83,0.835,4.44,-1.9,-0.964,4.92,0,0
84,84,0.845,4.47,-2.07,-1.08,5.04,0,0
85,85,0.855,4.38,-1.62,-1.1,4.8,0,0
86,86,0.865,3.8,-1.32,-1.49,4.29,0,0
87,87,0.875,2.28,-1.29,-1.63,3.08,0,0
88,88,0.885,0.585,-1.24,-2.34,2.71,0,0
89,89,0.895,-0.667,-1.16,-1.97,2.38,0,0
90,90,0.905,-0.936,-0.518,0.197,1.09,0,0
91,91,0.915,-1.28,-0.438,0.996,1.68,0,0
92,92,0.925,-1.33,0.0859,-2.05,2.45,0,0
93,93,0.935,-3.01,-2.58,-1.14,4.13,0,0
94,94,0.945,-4.75,-7.03,0.558,8.5,0,0
95,95,0.955,-4.51,-7.18,-2.68,8.89,0,0
96,96,0.965,-4.28,-4.59,-3.29,7.08,0,0
97,97,0.975,-4.1,-2.66,-1.76,5.19,0,0
98,98,0.985,-3.06,-1.53,0.478,3.46,0,0
99,99,0.995,-1.86,-1.61,-0.0946,2.46,0,0
100,100,1.01,-1.39,-1.73,-0.599,2.3,0,0
101,101,1.02,-0.977,-1.27,-0.595,1.71,0,0
102,102,1.03,-0.305,-2.09,0.462,2.16,0,0
103,103,1.04,0.764,-0.749,-0.12,1.08,0,0
104,104,1.05,1.52,-0.429,0.173,1.59,0,0
105,105,1.06,2.14,-0.132,0.553,2.22,0,0
106,106,1.07,2.57,0.838,1.06,2.9,0,0
107,107,1.08,2.6,2.89,1.76,4.26,0,0
108,108,1.09,2.63,5.33,2.75,6.54,0,0
109,109,1.1,2.86,5.48,2.99,6.86,0,0
110,110,1.11,3.18,3.06,2.05,4.87,0,0
111,111,1.12,3.42,1.09,1.67,3.96,0,0
112,112,1.13,3.0,-0.6,1.57,3.43,0,0
113,113,1.14,1.93,-1.96,1.49,3.13,0,0
114,114,1.15,0.165,-3.01,1.14,3.22,0,0
115,115,1.16,-1.69,-3.8,0.602,4.2,0,0
116,116,1.17,-3.25,-3.77,-0.151,4.98,0,0
117,117,1.18,-4.46,-2.92,-0.876,5.4,0,0
118,118,1.19,-5.32,-1.86,-0.971,5.72,0,0
119,119,1.2,-5.64,-0.944,-0.81,5.78,0,0
120,120,1.21,-5.39,-0.41,-0.896,5.47,0,0
121,121,1.22,-4.71,0.0781,-0.701,4.76,0,0
122,122,1.23,-3.93,0.79,-0.118,4.01,0,0
123,123,1.24,-3.34,1.73,0.298,3.78,0,0
124,124,1.25,-2.99,2.65,-0.0376,4.0,0,0
125,125,1.26,-2.6,2.96,-0.687,4.0,0,0
126,126,1.27,-2.22,2.79,-0.94,3.68,0,0
127,127,1.28,-2.04,2.71,-0.381,3.42,0,0
128,128,1.29,-1.78,3.16,0.195,3.63,0,0
129,129,1.3,-1.34,3.51,0.507,3.79,0,0
130,130,1.31,-1.02,3.68,0.622,3.87,0,0
131,131,1.32,-0.816,4.25,1.0,4.45,0,0
132,132,1.33,-0.843,4.7,1.37,4.97,0,0
133,133,1.34,-1.04,4.74,1.51,5.08,0,0
134,134,1.35,-0.86,4.24,1.25,4.5,0,0
135,135,1.36,0.122,2.62,0.735,2.73,0,0
136,136,1.37,2.06,-0.108,1.05,2.31,0,0
137,137,1.38,4.66,-3.35,1.45,5.92,0,0
138,138,1.39,7.42,-5.11,1.68,9.16,0,0
139,139,1.4,9.65,-5.4,0.695,11.1,0,0
140,140,1.41,10.8,-5.46,-1.27,12.2,0,0
141,141,1.42,9.89,-4.61,-2.62,11.2,0,0
142,142,1.43,5.86,-2.68,-2.17,6.8,0,0
143,143,1.44,1.19,-1.36,-1.26,2.2,0,0
144,144,1.45,-2.22,-1.09,-0.0454,2.47,0,0
145,145,1.46,-3.92,-1.26,1.36,4.33,0,0
146,146,1.47,-4.86,-1.29,1.91,5.38,0,0
147,147,1.48,-5.23,-1.46,1.8,5.72,0,0
148,148,1.49,-4.79,-1.36,2.07,5.39,0,0
149,149,1.5,-4.05,-0.956,2.48,4.85,0,0
150,150,1.51,-3.72,-0.551,3.33,5.02,0,0
151,151,1.52,-3.1,-0.339,4.36,5.36,0,0
152,152,1.53,-2.37,-0.463,4.56,5.16,0,0
153,153,1.54,-1.87,-0.38,4.94,5.29,0,0
154,154,1.55,-1.36,-0.773,5.84,6.04,0,0
155,155,1.56,-1.5,-1.65,5.04,5.51,0,0
156,156,1.57,-1.51,-1.9,4.3,4.93,0,0
157,157,1.58,-1.18,-2.25,4.56,5.22,0,0
158,158,1.59,-0.983,-3.54,3.1,4.8,0,0
159,159,1.6,-1.02,-4.47,-4.02,6.1,0,0
160,160,1.61,-0.628,-2.93,-10.3,10.8,0,0
161,161,1.62,-1.67,-2.67,-7.19,7.85,0,0
162,162,1.63,-3.15,-2.27,-3.51,5.23,0,0
163,163,1.64,-3.38,-1.8,-0.777,3.9,0,0
164,164,1.65,-3.51,-1.18,0.191,3.71,0,0
165,165,1.66,-2.58,-0.0756,-0.698,2.67,0,0
166,166,1.67,-0.474,0.881,-1.02,1.42,0,0
167,167,1.68,1.82,0.85,0.333,2.04,0,0
168,168,1.69,3.23,0.517,3.51,4.8,0,0
169,169,1.7,3.28,-0.487,5.82,6.7,0,0
170,170,1.71,2.08,-1.39,4.83,5.44,0,0
171,171,1.72,0.351,-1.83,2.19,2.87,0,0
172,172,1.73,-0.962,-2.09,0.784,2.43,0,0
173,173,1.74,-1.19,-1.95,0.0822,2.29,0,0
174,174,1.75,-0.784,-1.97,-0.895,2.3,0,0
175,175,1.76,-0.248,-1.56,-2.65,3.08,0,0
176,176,1.77,-0.0208,-0.116,-4.52,4.52,0,0
177,177,1.78,-0.0994,3.05,-6.17,6.88,0,0
178,178,1.79,-1.35,5.03,-6.2,8.1,0,0
179,179,1.8,-2.16,5.08,-3.21,6.39,0,0
180,180,1.81,-2.09,3.09,0.23,3.73,0,0
181,181,1.82,-2.15,-0.517,3.25,3.93,0,0
182,182,1.83,-1.93,-2.4,4.68,5.61,0,0
183,183,1.84,-0.842,-1.42,4.97,5.23,0,0
184,184,1.85,0.103,0.235,4.22,4.23,0,0
185,185,1.86,-0.127,0.331,2.68,2.7,0,0
186,186,1.87,0.0353,0.729,2.6,2.7,0,0
187,187,1.88,0.738,1.74,2.64,3.24,0,0
188,188,1.89,1.3,2.49,2.94,4.07,0,0
189,189,1.9,1.72,2.81,3.37,4.72,0,0
190,190,1.91,2.4,4.59,3.95,6.52,0,0
191,191,1.92,5.96,11.5,3.97,13.5,0,0
192,192,1.93,8.23,10.4,2.59,13.5,0,0
193,193,1.94,7.84,4.2,1.91,9.09,0,0
194,194,1.95,6.78,1.71,2.38,7.39,0,0
195,195,1.96,5.46,0.895,3.13,6.35,0,0
196,196,1.97,3.64,-1.07,3.47,5.14,0,0
197,197,1.98,1.64,-2.89,4.31,5.45,0,0
198,198,1.99,-0.783,-4.86,5.43,7.33,0,0
199,199,2.0,-3.51,-6.65,2.93,8.07,0,0
200,200,2.01,-5.01,-6.45,0.403,8.18,0,0
201,201,2.02,-5.07,-6.95,-3.79,9.4,0,0
202,202,2.03,-5.04,-7.62,-4.19,10.1,0,0
203,203,2.04,-5.55,-7.67,-2.8,9.88,0,0
204,204,2.05,-5.31,-7.91,-2.76,9.92,0,0
205,205,2.06,-3.33,-7.28,-3.91,8.91,0,0
206,206,2.07,-1.73,-6.77,-4.13,8.12,0,0
207,207,2.08,-0.97,-5.88,-3.72,7.02,0,0
208,208,2.09,-1.32,-4.71,-3.03,5.76,0,0
209,209,2.1,-2.31,-3.69,-2.1,4.83,0,0
210,210,2.11,-2.95,-2.84,-1.16,4.26,0,0
211,211,2.12,-3.38,-2.1,-0.447,4.0,0,0
212,212,2.13,-3.93,-1.13,-0.0534,4.08,0,0
213,213,2.14,-3.56,0.507,-1.19,3.79,0,0
214,214,2.15,-2.34,0.875,-0.478,2.54,0,0
215,215,2.16,-2.27,-0.182,1.76,2.87,0,0
216,216,2.17,-2.0,-0.137,2.62,3.3,0,0
217,217,2.18,-1.86,-0.169,2.73,3.31,0,0
218,218,2.19,-1.79,-0.0793,2.46,3.05,0,0
219,219,2.2,-1.85,-0.0898,1.78,2.57,0,0
220,220,2.21,-2.25,-0.231,1.21,2.56,0,0
221,221,2.22,-2.51,-0.124,0.566,2.58,0,0
222,222,2.23,-2.46,0.325,-0.112,2.49,0,0
223,223,2.24,-2.28,1.03,-0.186,2.51,0,0
224,224,2.25,-2.18,1.41,0.13,2.6,0,0
225,225,2.26,-2.01,1.74,0.489,2.7,0,0
226,226,2.27,-1.67,2.21,0.847,2.89,0,0
227,227,2.28,-1.16,2.38,1.3,2.95,0,0
228,228,2.29,-0.522,2.25,1.5,2.75,0,0
229,229,2.3,-0.0677,1.61,0.356,1.65,0,0
230,230,2.31,0.232,1.16,-1.12,1.63,0,0
231,231,2.32,0.458,1.24,-2.42,2.76,0,0
232,232,2.33,-0.185,0.512,-3.98,4.01,0,0
233,233,2.34,-1.33,-0.545,-3.93,4.18,0,0
234,234,2.35,-1.91,-0.889,-3.11,3.76,0,0
235,235,2.36,-2.07,-0.956,-1.68,2.83,0,0
236,236,2.37,-1.69,-0.891,-0.244,1.93,0,0
237,237,2.38,-0.946,-0.982,1.02,1.7,0,0
238,238,2.39,-0.387,-1.11,1.96,2.28,0,0
239,239,2.4,-0.0109,-0.488,2.47,2.52,0,0
240,240,2.41,-0.245,0.511,2.75,2.81,0,0
241,241,2.42,-0.54,0.75,2.72,2.87,0,0
242,242,2.43,-0.66,0.393,2.29,2.42,0,0
243,243,2.44,-0.769,-0.23,1.88,2.04,0,0
244,244,2.45,-0.931,-0.751,1.52,1.94,0,0
245,245,2.46,-1.06,-1.03,0.897,1.73,0,0
246,246,2.47,-1.16,-1.01,-0.0817,1.54,0,0
247,247,2.48,-1.24,-0.862,-1.18,1.92,0,0
248,248,2.49,-1.36,-0.777,-1.95,2.51,0,0
249,249,2.5,-1.53,-0.732,-2.2,2.78,0,0
250,250,2.51,-1.68,-0.68,-1.98,2.68,0,0
251,251,2.52,-1.75,-0.708,-1.38,2.34,0,0
252,252,2.53,-1.83,-0.726,-0.522,2.04,0,0
253,253,2.54,-1.94,-0.791,0.155,2.1,0,0
254,254,2.55,-2.08,-0.83,0.646,2.33,0,0
255,255,2.56,-2.22,-0.835,0.852,2.52,0,0
256,256,2.57,-2.29,-0.796,0.806,2.55,0,0
257,257,2.58,-2.26,-0.81,0.613,2.48,0,0
258,258,2.59,-2.2,-0.851,0.374,2.38,0,0
259,259,2.6,-2.12,-0.845,0.16,2.29,0,0
260,260,2.61,-2.04,-0.794,0.000103,2.19,0,0
261,261,2.62,-1.96,-0.731,-0.0889,2.09,0,0
262,262,2.63,-1.88,-0.669,-0.0884,2.0,0,0
263,263,2.64,-1.85,-0.528,0.0785,1.93,0,0
264,264,2.65,-1.77,-0.542,0.221,1.86,0,0
265,265,2.66,-1.62,-0.574,0.294,1.74,0,0
266,266,2.67,-1.65,-0.474,0.124,1.72,0,0
267,267,2.68,-1.71,-0.388,-0.0179,1.75,0,0
268,268,2.69,-1.56,-0.297,0.269,1.61,0,0
269,269,2.7,-1.26,-0.205,0.34,1.32,0,0
270,270,2.71,-1.43,-0.431,0.122,1.5,0,0
271,271,2.72,-1.81,-0.655,-0.363,1.96,0,0
272,272,2.73,-2.13,-0.857,-1.15,2.57,0,0
273,273,2.74,-2.29,-0.932,-0.772,2.59,0,0
274,274,2.75,-2.28,-0.803,-0.101,2.42,0,0
275,275,2.76,-2.24,-0.645,0.17,2.33,0,0
276,276,2.77,-2.32,-0.602,0.189,2.4,0,0
277,277,2.78,-2.58,-0.727,-0.289,2.69,0,0
278,278,2.79,-2.81,-1.03,-0.86,3.12,0,0
279,279,2.8,-2.74,-1.02,-0.687,3.0,0,0
280,280,2.81,-2.62,-0.901,-0.178,2.77,0,0
281,281,2.82,-2.64,-0.86,0.0748,2.77,0,0
282,282,2.83,-2.69,-0.92,-0.012,2.84,0,0
283,283,2.84,-2.71,-0.957,-0.337,2.89,0,0
284,284,2.85,-2.66,-0.89,-0.653,2.88,0,0
285,285,2.86,-2.57,-0.775,-0.746,2.79,0,0
286,286,2.87,-2.47,-0.654,-0.703,2.65,0,0
287,287,2.88,-2.33,-0.634,-0.88,2.57,0,0
288,288,2.89,-2.24,-0.706,-1.34,2.7,0,0
289,289,2.9,-2.16,-1.06,-2.05,3.16,0,0
290,290,2.91,-1.63,-2.09,-3.21,4.16,0,0
291,291,2.92,-0.403,-3.76,-4.14,5.61,0,0
292,292,2.93,1.11,-5.47,-3.28,6.47,0,0
293,293,2.94,2.37,-6.81,-0.24,7.21,0,0
294,294,2.95,3.04,-7.5,2.51,8.48,0,0
295,295,2.96,2.78,-7.08,4.15,8.66,0,0
296,296,2.97,1.49,-5.26,5.04,7.44,0,0
297,297,2.98,-0.439,-2.41,4.98,5.55,0,0
298,298,2.99,-2.12,0.0974,4.11,4.62,0,0
299,299,3.0,-3.08,1.68,3.66,5.07,0,0
300,300,3.01,-3.4,2.81,4.12,6.04,0,0
301,301,3.02,-3.07,3.43,5.3,7.02,0,0
302,302,3.03,-2.22,3.31,6.82,7.9,0,0
303,303,3.04,-1.32,2.4,8.11,8.56,0,0
304,304,3.05,-0.345,1.29,8.63,8.74,0,0
305,305,3.06,0.797,0.457,8.17,8.23,0,0
306,306,3.07,2.0,-0.243,6.94,7.23,0,0
307,307,3.08,3.25,-0.478,5.07,6.04,0,0
308,308,3.09,4.3,-0.3,3.52,5.56,0,0
309,309,3.1,5.1,0.306,2.69,5.77,0,0
310,310,3.11,5.42,1.22,2.82,6.23,0,0
311,311,3.12,5.46,2.26,3.4,6.82,0,0
312,312,3.13,5.25,3.18,3.72,7.18,0,0
313,313,3.14,4.87,3.79,3.14,6.92,0,0
314,314,3.15,4.28,3.99,2.03,6.2,0,0
315,315,3.16,3.4,3.7,1.22,5.17,0,0
316,316,3.17,2.52,3.16,0.357,4.05,0,0
317,317,3.18,1.73,2.58,-0.17,3.11,0,0
318,318,3.19,1.25,2.14,-0.243,2.49,0,0
319,319,3.2,1.13,1.89,-0.129,2.21,0,0
320,320,3.21,1.26,1.62,-0.0412,2.05,0,0
321,321,3.22,1.38,1.26,0.00999,1.87,0,0
322,322,3.23,1.27,1.0,-0.0076,1.62,0,0
323,323,3.24,0.916,0.868,-0.0417,1.26,0,0
324,324,3.25,0.438,0.893,-0.0217,0.995,0,0
325,325,3.26,-0.00353,0.986,-0.028,0.986,0,0
326,326,3.27,-0.411,1.07,-0.08,1.15,0,0
327,327,3.28,-0.809,1.22,-0.105,1.47,0,0
328,328,3.29,-1.09,1.49,-0.0612,1.84,0,0
329,329,3.3,-1.3,1.84,0.0824,2.25,0,0
330,330,3.31,-1.43,2.06,0.104,2.51,0,0
331,331,3.32,-1.53,2.19,-0.16,2.67,0,0
332,332,3.33,-1.6,2.44,-0.84,3.03,0,0
333,333,3.34,-1.6,2.8,-1.58,3.59,0,0
334,334,3.35,-1.54,3.22,-2.0,4.09,0,0
335,335,3.36,-1.57,3.58,-2.53,4.66,0,0
336,336,3.37,-1.56,3.95,-3.58,5.55,0,0
337,337,3.38,-1.75,3.96,-3.98,5.88,0,0
338,338,3.39,-2.3,3.09,-3.29,5.06,0,0
339,339,3.4,-2.96,1.59,-1.74,3.78,0,0
340,340,3.41,-3.56,0.331,0.748,3.65,0,0
341,341,3.42,-3.71,-0.321,3.03,4.8,0,0
342,342,3.43,-3.0,-0.7,3.89,4.97,0,0
343,343,3.44,-1.27,-1.0,3.33,3.71,0,0
344,344,3.45,1.41,-1.64,2.41,3.23,0,0
345,345,3.46,4.89,-3.1,1.12,5.9,0,0
346,346,3.47,8.72,-4.93,0.114,10.0,0,0
347,347,3.48,11.9,-6.17,-0.62,13.4,0,0
348,348,3.49,14.1,-6.66,-1.46,15.7,0,0
349,349,3.5,15.2,-6.94,-1.81,16.8,0,0
350,350,3.51,15.2,-7.26,-1.26,16.9,0,0
351,351,3.52,14.6,-7.32,-0.378,16.4,0,0
352,352,3.53,13.9,-7.39,-0.0621,15.8,0,0
353,353,3.54,12.9,-7.38,-0.728,14.9,0,0
354,354,3.55,10.7,-7.18,-1.86,13.1,0,0
355,355,3.56,8.19,-6.86,-2.47,11.0,0,0
356,356,3.57,5.92,-6.86,-2.94,9.53,0,0
357,357,3.58,3.91,-7.12,-3.03,8.67,0,0
358,358,3.59,1.95,-6.91,-2.29,7.53,0,0
359,359,3.6,-0.0957,-5.88,-0.999,5.96,0,0
360,360,3.61,-2.14,-4.3,0.572,4.84,0,0
361,361,3.62,-3.66,-2.61,2.29,5.05,0,0
362,362,3.63,-4.43,-0.972,3.22,5.56,0,0
363,363,3.64,-5.08,0.903,3.35,6.15,0,0
364,364,3.65,-6.31,3.02,3.05,7.63,0,0
365,365,3.66,-7.45,4.86,2.78,9.32,0,0
366,366,3.67,-8.18,6.27,2.43,10.6,0,0
367,367,3.68,-8.47,7.14,1.97,11.3,0,0
368,368,3.69,-8.5,7.79,1.43,11.6,0,0
369,369,3.7,-8.26,8.31,0.945,11.8,0,0
370,370,3.71,-7.83,8.59,0.671,11.6,0,0
371,371,3.72,-7.49,8.58,0.764,11.4,0,0
372,372,3.73,-7.42,8.47,0.956,11.3,0,0
373,373,3.74,-7.45,8.41,1.17,11.3,0,0
374,374,3.75,-7.57,8.41,1.34,11.4,0,0
375,375,3.76,-7.68,8.4,1.45,11.5,0,0
376,376,3.77,-7.71,8.37,1.52,11.5,0,0
377,377,3.78,-7.78,8.36,1.57,11.5,0,0
378,378,3.79,-7.89,8.29,1.55,11.6,0,0
379,379,3.8,-7.93,8.15,1.51,11.5,0,0
380,380,3.81,-7.86,8.0,1.37,11.3,0,0
381,381,3.82,-7.73,7.84,1.17,11.1,0,0
382,382,3.83,-7.64,7.74,1.04,10.9,0,0
383,383,3.84,-7.6,7.73,0.948,10.9,0,0
384,384,3.85,-7.55,7.75,0.926,10.9,0,0
385,385,3.86,-7.5,7.68,1.06,10.8,0,0
386,386,3.87,-7.61,7.44,1.16,10.7,0,0
387,387,3.88,-7.05,6.43,0.0793,9.55,0,0
388,388,3.89,-4.85,4.82,-2.18,7.17,0,0
389,389,3.9,-2.67,3.35,-6.41,7.71,0,0
390,390,3.91,0.304,1.59,-18.9,19.0,0,0
391,391,3.92,0.818,-0.01,-13.7,13.7,0,0
392,392,3.93,0.977,-2.44,5.46,6.06,0,0
393,393,3.94,9.61,-8.27,11.4,17.1,0,0
394,394,3.95,23.7,-17.6,10.9,31.4,0,0
395,395,3.96,33.1,-26.4,4.79,42.6,0,0
396,396,3.97,33.9,-30.9,-5.51,46.2,0,0
397,397,3.98,28.9,-27.6,-10.4,41.3,0,0
398,398,3.99,24.9,-20.8,-11.3,34.3,0,0
399,399,4.0,16.6,-12.2,-1.94,20.7,0,0
400,400,4.01,11.4,-6.2,2.93,13.3,0,0
401,401,4.02,9.03,-4.31,2.03,10.2,0,0
402,402,4.03,7.89,-4.27,0.561,8.99,0,0
403,403,4.04,6.94,-4.47,-0.0393,8.25,0,0
404,404,4.05,5.58,-4.55,0.4,7.21,0,0
405,405,4.06,3.84,-4.47,0.367,5.91,0,0
406,406,4.07,1.73,-3.84,-0.816,4.29,0,0
407,407,4.08,-0.504,-2.93,-1.78,3.47,0,0
408,408,4.09,-2.26,-2.23,-1.04,3.34,0,0
409,409,4.1,-3.59,-1.06,0.504,3.78,0,0
410,410,4.11,-4.8,0.728,1.2,5.0,0,0
411,411,4.12,-5.9,2.52,1.06,6.51,0,0
412,412,4.13,-6.85,4.29,0.938,8.14,0,0
413,413,4.14,-7.63,6.0,1.05,9.77,0,0
414,414,4.15,-8.23,7.37,1.07,11.1,0,0
415,415,4.16,-8.34,8.18,0.956,11.7,0,0
416,416,4.17,-8.2,8.58,0.83,11.9,0,0
417,417,4.18,-8.11,8.7,0.754,11.9,0,0
418,418,4.19,-7.98,8.7,0.857,11.8,0,0
419,419,4.2,-7.77,8.62,0.867,11.6,0,0
420,420,4.21,-7.67,8.6,0.834,11.6,0,0
421,421,4.22,-7.67,8.7,1.01,11.6,0,0
422,422,4.23,-7.8,8.74,1.21,11.8,0,0
423,423,4.24,-8.06,8.85,1.48,12.1,0,0
424,424,4.25,-8.28,9.1,1.66,12.4,0,0
425,425,4.26,-8.45,9.27,1.7,12.7,0,0
426,426,4.27,-8.52,9.2,1.62,12.6,0,0
427,427,4.28,-8.39,8.99,1.4,12.4,0,0
428,428,4.29,-8.14,8.77,1.17,12.0,0,0
429,429,4.3,-7.86,8.6,1.04,11.7,0,0
430,430,4.31,-7.55,8.51,1.02,11.4,0,0
431,431,4.32,-7.17,8.4,1.06,11.1,0,0
432,432,4.33,-6.77,8.15,1.1,10.6,0,0
433,433,4.34,-6.44,7.77,1.1,10.2,0,0
434,434,4.35,-5.46,7.03,0.66,8.93,0,0
435,435,4.36,-3.73,5.58,-1.21,6.82,0,0
436,436,4.37,-2.53,4.23,-5.6,7.46,0,0
437,437,4.38,-0.17,2.42,-15.4,15.6,0,0
438,438,4.39,2.46,-0.18,-11.9,12.1,0,0
439,439,4.4,2.13,-2.73,2.6,4.33,0,0
440,440,4.41,8.23,-10.7,11.0,17.4,0,0
441,441,4.42,18.3,-20.8,14.6,31.3,0,0
442,442,4.43,27.1,-28.8,8.24,40.4,0,0
443,443,4.44,31.5,-33.5,-8.23,46.7,0,0
444,444,4.45,29.1,-26.5,-16.3,42.6,0,0
445,445,4.46,22.8,-13.3,-7.66,27.5,0,0
446,446,4.47,15.9,-6.59,1.48,17.3,0,0
447,447,4.48,12.0,-3.87,2.29,12.8,0,0
448,448,4.49,9.39,-3.46,1.92,10.2,0,0
449,449,4.5,7.38,-4.88,3.05,9.36,0,0
450,450,4.51,5.41,-6.18,3.56,8.95,0,0
451,451,4.52,3.65,-6.92,3.27,8.48,0,0
452,452,4.53,2.53,-7.08,2.17,7.83,0,0
453,453,4.54,1.37,-6.49,0.329,6.64,0,0
454,454,4.55,-0.199,-5.34,-1.04,5.44,0,0
455,455,4.56,-1.69,-4.16,-1.64,4.78,0,0
456,456,4.57,-2.75,-2.94,-1.9,4.45,0,0
457,457,4.58,-3.37,-1.35,-1.48,3.92,0,0
458,458,4.59,-3.74,0.638,-0.497,3.83,0,0
459,459,4.6,-4.15,2.78,0.428,5.02,0,0
460,460,4.61,-4.67,4.75,0.918,6.73,0,0
461,461,4.62,-5.28,6.54,1.05,8.48,0,0
462,462,4.63,-5.94,8.1,0.986,10.1,0,0
463,463,4.64,-6.47,9.37,0.885,11.4,0,0
464,464,4.65,-6.64,10.2,0.775,12.2,0,0
465,465,4.66,-6.59,10.6,0.629,12.5,0,0
466,466,4.67,-6.46,10.5,0.579,12.3,0,0
467,467,4.68,-6.34,10.3,0.537,12.1,0,0
